,distribution,test statistics,p-value
0,alpha,0.13530330396307316,1.0717244492427124e-54
1,anglit,0.5205356539221226,0.0
2,arcsine,0.48427873850794906,0.0
3,beta,0.13709789439219833,3.809731603359403e-56
4,betaprime,0.13540712040000313,8.846437772952167e-55
5,bradford,0.40638799294533023,0.0
6,burr,0.09143375604935883,3.2920656076517054e-25
7,burr12,0.08833207530742104,1.480471006089506e-23
8,cauchy,0.0313397982539908,0.002451062513674954
9,chi,0.13832361835315,3.802844699028533e-57
10,chi2,0.5714343828940975,0.0
11,cosine,1.0,0.0
12,dgamma,0.040941390256249766,2.1475957199362992e-05
13,dweibull,0.03713697504381375,0.00016312981354610462
14,erlang,0.49435012119162297,0.0
15,expon,0.5175002143313441,0.0
16,exponnorm,0.12595651827224497,1.8586544772019908e-47
17,exponweib,0.14403124171021664,6.347509812609452e-62
18,exponpow,0.34048479034565093,0.0
19,f,0.1353814633224817,9.276084067438281e-55
20,fatiguelife,0.13641509603135016,1.3630951568224145e-55
21,fisk,0.08986773230343448,2.286414035155657e-24
22,foldcauchy,0.028747719333548694,0.007097069160527575
23,foldnorm,0.5461591983770536,0.0
24,frechet_r,0.22178372113874703,3.0439418055427896e-146
25,frechet_l,0.44846122766665714,0.0
26,genlogistic,0.08926944414713883,4.752000373192315e-24
27,genpareto,0.5495955415489835,0.0
28,gennorm,0.03523902134216811,0.00041663418526080055
29,genexpon,0.45552580223093886,0.0
30,genextreme,0.20130685378011315,1.4673629523335006e-120
31,gausshyper,0.8462932463103022,0.0
32,gamma,0.4953141738590328,0.0
33,gengamma,0.14523341335958073,5.911709615438757e-63
34,genhalflogistic,0.48978593782419577,0.0
35,gilbrat,0.3831892318770935,0.0
36,gompertz,0.5419158327275692,0.0
37,gumbel_r,0.235567031399324,6.249374143318799e-165
38,gumbel_l,0.296074074297163,2.715793735242604e-260
39,halfcauchy,0.400602060354581,0.0
40,halflogistic,0.5158217599769597,0.0
41,halfnorm,0.5408915543132095,0.0
42,halfgennorm,0.5679639211832685,0.0
43,hypsecant,0.07857766830180246,9.929087191488093e-19
44,invgamma,0.13851963218081764,2.6256691650394956e-57
45,invgauss,0.15498648158858347,1.2344719470001313e-71
46,invweibull,0.23686799859637808,9.414381635156153e-167
47,johnsonsb,0.14245593786511257,1.3819505255654847e-60
48,johnsonsu,0.021563255418552363,0.08367303792766148
49,kstwobign,0.2801671432217385,4.046968804254651e-233
50,laplace,0.06720342846516258,8.174906169097284e-14
51,levy,0.5916457473699839,0.0
52,levy_l,0.6218574184417305,0.0
53,logistic,0.08946484017113776,3.744075228732647e-24
54,loggamma,0.14703451403340762,1.6262662125198298e-64
55,loglaplace,0.06584041850266348,2.818800930396217e-13
56,lognorm,0.13589862340182768,3.560084335202654e-55
57,lomax,0.48792309513446297,0.0
58,maxwell,0.3979876265031307,0.0
59,mielke,0.09143376158939415,3.2920428418804786e-25
60,nakagami,0.13960117381159376,3.369166323929036e-58
61,ncx2,0.13824444969257826,4.415884859330896e-57
62,ncf,0.36777028029626296,0.0
63,nct,0.3161345854178751,1.062419937898168e-296
64,norm,0.14236730196202263,1.6418475338732905e-60
65,pareto,0.5804903584244043,0.0
66,pearson3,0.13703629551228513,4.275174961334593e-56
67,powerlaw,0.49835240711821854,0.0
68,powerlognorm,0.13522043845842957,1.2489310406722239e-54
69,powernorm,0.14152518596610297,8.39567538988745e-60
70,rdist,0.48789165847649635,0.0
71,reciprocal,0.3907892827369996,0.0
72,rayleigh,0.4474529358413134,0.0
73,rice,0.1423539523877143,1.6850026688452416e-60
74,recipinvgauss,,
75,semicircular,0.5078884340602108,0.0
76,t,0.036609583436875814,0.00021273176670602242
77,triang,0.42959247008868695,0.0
78,truncexpon,0.3840680419314727,0.0
79,truncnorm,0.4025122294644655,0.0
80,tukeylambda,0.034682918227133874,0.0005432825091785724
81,uniform,0.4955453231321695,0.0
82,vonmises,4.111987511178662e+28,0.0
83,vonmises_line,1.0,0.0
84,wald,0.4046242947404596,0.0
85,weibull_min,0.22178372113874703,3.0439418055427896e-146
86,weibull_max,0.44846122766665714,0.0
