,dbq,AIC,BIC
0,"(0, 0, 0)",12934.36644924035,12946.32649642497
1,"(0, 0, 1)",9003.374944470037,9021.31501524697
2,"(0, 0, 2)",5568.5354325507615,5592.455526920004
3,"(0, 1, 0)",-9152.06907931892,-9140.109716714145
4,"(0, 1, 1)",-9209.378191242573,-9191.43914733541
5,"(0, 1, 2)",-9212.798500592184,-9188.879775382633
6,"(0, 2, 0)",-6725.353581846133,-6713.394904055609
7,"(0, 2, 1)",-9139.61795770442,-9121.679941018634
8,"(0, 2, 2)",-9198.63652511903,-9174.71916953798
9,"(1, 0, 0)",-9137.993925083105,-9120.053854306172
10,"(1, 0, 1)",-9192.68783573119,-9168.767741361948
11,"(1, 0, 2)",-9196.89328725138,-9166.993169289826
12,"(1, 1, 0)",-9213.368618642991,-9195.429574735828
13,"(1, 1, 1)",-9212.870525116403,-9188.951799906852
14,"(1, 1, 2)",-9210.960590797818,-9181.06218428588
15,"(1, 2, 0)",-7936.155514790551,-7918.217498104764
16,"(1, 2, 1)",-9200.368400534251,-9176.451044953203
17,"(1, 2, 2)",-9201.06983086847,-9171.173136392157
18,"(2, 0, 0)",-9196.860533333682,-9172.940438964439
19,"(2, 0, 1)",-9196.729584045868,-9166.829466084315
20,"(2, 0, 2)",-9194.815620132711,-9158.935478578847
21,"(2, 1, 0)",-9212.944965952465,-9189.026240742915
22,"(2, 1, 1)",-9221.417977394867,-9191.519570882929
23,"(2, 1, 2)",-9219.465671412825,-9183.587583598499
24,"(2, 2, 0)",-8328.985973042752,-8305.068617461704
25,"(2, 2, 1)",-9201.074248692737,-9171.177554216425
26,"(2, 2, 2)",-9199.42463120215,-9163.548597830575
